% Model,DLD_COMSOL2.mph
% Version,COMSOL 5.6.0.280
% Date,"Jan 23 2022, 17:51"
% Dimension,2
% Nodes,12831
% Expressions,2
% Description,"Dependent variable psi, Pressure"
% Length unit,µm
% x,y,psi (m^2/s),p (Pa)
59.99999999999999,55.499559594842715,9.675377798117386E-7,-0.5540745039984148
60.00000000000001,55.73795848437427,9.685033105127883E-7,-0.3003614957746578
59.6016825609358,55.5838976344364,9.679098405626285E-7,-0.7520020157995265
49.58947579898094,64.95894757989808,9.689011229192645E-7,10.126239664553923
49.71521813508762,64.51434296394045,9.689041361349045E-7,10.158851901270769
49.80199954853108,64.9801999548531,9.689726796264737E-7,10.267818341084933
59.99999999999999,55.18126996450441,9.653827955166743E-7,-0.6429565390186929
59.49027024036656,55.33650440989734,9.664719521878623E-7,-0.7247883688991378
49.29802913134332,64.92980291313432,9.687383638732298E-7,9.935082584561245
49.4834178244229,64.47044417228591,9.687567566237233E-7,10.00887892672563
59.53887893202139,54.99995344203775,9.636417570802902E-7,-0.7305147888507357
59.99999999999999,54.716651247420316,9.605819114028638E-7,-0.7683517943186886
48.85316752436681,64.88531675243667,9.683530094316302E-7,9.721807539201318
49.07774278610029,64.41178521197853,9.683542344714208E-7,9.781947828620766
59.544222236357534,54.43450031126329,9.566579893133036E-7,-0.7508168833575852
59.99999999999999,54.029607769901176,9.502389519120129E-7,-0.8952690259344201
48.55479702773903,64.39891870724911,9.676376361035172E-7,9.498603863027254
48.22234377358977,64.82223437735897,9.675582549853943E-7,9.349353507002075
59.52726473034413,53.67132435138177,9.433066309989305E-7,-0.8462846920980792
59.99999999999999,53.21939772631831,9.336895715479232E-7,-0.9124510036531429
47.81343332516323,64.31915273935844,9.662036430327962E-7,9.072523217577022
47.42542467500692,64.74254246750068,9.661832979058761E-7,8.872717297427851
59.52092625564524,52.769063031942245,9.224884636045115E-7,-0.775216523727429
59.99999999999999,52.47818002635423,9.149206508259562E-7,-0.8179282569532683
46.89401953534926,64.21371339438488,9.638690149924268E-7,8.639811095125834
46.57346650741599,64.65734665074159,9.642982573783653E-7,8.544141849066845
59.51637742744951,52.1212236411207,9.045653064497702E-7,-0.7387067276826218
59.99999999999999,51.82075143043012,8.957021528733124E-7,-0.8348584933333479
46.207138414624346,64.13551862269637,9.61776982744061E-7,8.42070992948092
45.860010285058834,64.58600102850588,9.624401069365371E-7,8.32820506906658
59.51568150666785,51.52325560898132,8.860777320843991E-7,-0.7221289882317876
59.99999999999999,51.22380174690784,8.763761331477876E-7,-0.8371117846185124
59.51536260881445,50.92572636678379,8.659028735006822E-7,-0.710621401345607
59.99999999999999,50.62682175348047,8.55418467734484E-7,-0.8314463226586105
